date,condition,subject,trial,target_angle,su,rotation,rt,mt,ep
2025-09-01,mis_rep,16.3,0,90.0,1.0,0.0,2008,681,-0.22
2025-09-01,mis_rep,16.3,1,150.0,1.0,0.0,2006,768,0.78
2025-09-01,mis_rep,16.3,2,-150.0,1.0,0.0,2010,666,1.85
2025-09-01,mis_rep,16.3,3,60.0,1.0,0.0,2010,663,-0.68
2025-09-01,mis_rep,16.3,4,-30.0,1.0,0.0,2001,654,-2.24
2025-09-01,mis_rep,16.3,5,-120.0,1.0,0.0,2010,647,2.44
2025-09-01,mis_rep,16.3,6,90.0,1.0,0.0,2006,613,-0.1
2025-09-01,mis_rep,16.3,7,-60.0,1.0,0.0,2008,731,-2.68
2025-09-01,mis_rep,16.3,8,-30.0,1.0,0.0,2007,654,-2.17
2025-09-01,mis_rep,16.3,9,-60.0,1.0,0.0,2001,626,-2.7
2025-09-01,mis_rep,16.3,10,-60.0,1.0,0.0,2001,751,-2.54
2025-09-01,mis_rep,16.3,11,-120.0,1.0,0.0,2006,735,2.51
2025-09-01,mis_rep,16.3,12,-90.0,1.0,0.0,2002,605,2.99
2025-09-01,mis_rep,16.3,13,30.0,1.0,0.0,2003,629,-1.1
2025-09-01,mis_rep,16.3,14,-150.0,1.0,0.0,2011,642,2.17
2025-09-01,mis_rep,16.3,15,90.0,1.0,0.0,2008,610,0.03
2025-09-01,mis_rep,16.3,16,-90.0,1.0,0.0,2005,643,-3.12
2025-09-01,mis_rep,16.3,17,-90.0,1.0,0.0,2008,641,3.05
2025-09-01,mis_rep,16.3,18,0.0,1.0,0.0,2004,596,-1.77
2025-09-01,mis_rep,16.3,19,0.0,1.0,0.0,2003,621,-1.53
2025-09-01,mis_rep,16.3,20,150.0,1.0,0.0,2005,718,1.14
2025-09-01,mis_rep,16.3,21,60.0,1.0,0.0,2007,717,-0.61
2025-09-01,mis_rep,16.3,22,30.0,1.0,0.0,2009,740,-0.99
2025-09-01,mis_rep,16.3,23,-120.0,1.0,0.0,2011,731,2.51
2025-09-01,mis_rep,16.3,24,30.0,1.0,0.0,2007,636,-1.19
2025-09-01,mis_rep,16.3,25,0.0,1.0,0.0,2002,616,-1.52
2025-09-01,mis_rep,16.3,26,-30.0,1.0,0.0,2001,746,-2.17
2025-09-01,mis_rep,16.3,27,120.0,1.0,0.0,2009,631,0.6
2025-09-01,mis_rep,16.3,28,120.0,1.0,0.0,2008,735,0.48
2025-09-01,mis_rep,16.3,29,-150.0,1.0,0.0,2008,641,2.01
2025-09-01,mis_rep,16.3,30,60.0,1.0,0.0,2008,610,-0.65
2025-09-01,mis_rep,16.3,31,150.0,1.0,0.0,2002,790,1.06
2025-09-01,mis_rep,16.3,32,120.0,1.0,0.0,2007,925,0.58
2025-09-01,mis_rep,16.3,33,150.0,1.0,0.0,2002,675,0.92
2025-09-01,mis_rep,16.3,34,-120.0,1.0,0.0,2007,758,2.54
2025-09-01,mis_rep,16.3,35,90.0,1.0,0.0,2009,895,0.1
2025-09-01,mis_rep,16.3,36,120.0,1.0,0.0,2002,726,0.62
